TIME_SYSTEM_ON, GAIT_PHASE, GAIT_SUBPHASE, ACTUATOR_POSITION, TORQUE_ESTIMATE, ACTUATOR_SETPOINT, LOADCELL, LINEAR_ACC_X_LOCAL, LINEAR_ACC_Y_LOCAL, LINEAR_ACC_Z_LOCAL, GRAVITY_VECTOR_X, GRAVITY_VECTOR_Y, GRAVITY_VECTOR_Z, KNEE_ANGLE
348.00000000, 1.00000000, 3.00000000, 30.37652588, 0.20609112, 0.61827332, 0.47860718, -0.10000000, -0.14000000, 0.02000000, -7.46999979, 4.48000002, 4.48000002, 30.41978264
348.00000000, 1.00000000, 3.00000000, 30.33259583, 0.11885416, 0.09504599, 0.75759888, -0.31000000, -0.18000001, 0.37000000, -7.65000010, 4.38999987, 4.25000000, 30.35754395
348.00000000, 1.00000000, 3.00000000, 30.42047119, 0.29333544, 0.35656247, 0.06857300, -0.23000000, -0.18000001, 0.44999999, -7.78999996, 4.30999994, 4.07999992, 30.48203850
348.00000000, 1.00000000, 3.00000000, 30.33259583, 0.20609112, 1.40357554, 1.57495117, -0.61000001, -0.19000000, 0.51999998, -7.88000011, 4.23000002, 3.98000002, 30.37585258
348.00000000, 1.00000000, 3.00000000, 30.37652588, 0.29333544, 0.61827332, 0.46508789, -0.70999998, -0.06000000, 0.62000000, -7.94000006, 4.15000010, 3.94000006, 30.43809319
348.00000000, 1.00000000, 3.00000000, 30.35455322, 0.38059020, 0.88000631, 0.66540527, -0.62000000, -0.17000000, 0.55000001, -7.96999979, 4.09000015, 3.95000005, 30.43443108
348.00000000, 1.00000000, 3.00000000, 30.46440125, 0.38059020, 1.40357554, 0.17797852, -0.41000000, -0.19000000, 0.73000002, -7.98999977, 4.03000021, 3.97000003, 30.54427910
348.00000000, 1.00000000, 3.00000000, 30.48637390, 0.46785852, 1.66524863, 0.89132690, -0.20000000, -0.02000000, 0.86000001, -7.98999977, 3.97000003, 4.03000021, 30.58456039
348.00000000, 1.00000000, 3.00000000, 30.50834656, 0.64238763, 1.92716289, 0.44723511, -0.28000000, 0.09000000, 0.88999999, -7.96999979, 3.94000006, 4.09999990, 30.64314079
348.00000000, 1.00000000, 3.00000000, 30.57426453, 0.90445173, 1.92716289, 1.22061157, -0.22000000, 0.25999999, 0.69000000, -7.94999981, 3.93000007, 4.13999987, 30.76399040
348.00000000, 1.00000000, 3.00000000, 30.64016724, 1.07925630, 3.23776889, 0.19607544, -0.20000000, 0.20000000, 0.63000000, -7.92999983, 3.94000006, 4.17000008, 30.86650276
348.00000000, 1.00000000, 3.00000000, 30.66213989, 0.90445173, 3.50023484, 0.83004761, -0.07000000, -0.01000000, 0.38000000, -7.92000008, 3.96000004, 4.17999983, 30.85186577
348.00000000, 1.00000000, 3.00000000, 30.81593323, 1.34185004, 3.50023484, 0.74905396, -0.06000000, -0.03000000, 0.46000001, -7.90999985, 3.98000002, 4.17999983, 31.09720230
348.00000000, 1.00000000, 3.00000000, 30.94775391, 1.42947268, 3.76282549, 0.45318604, -0.04000000, 0.00000000, 0.43000001, -7.90000010, 4.00000000, 4.17999983, 31.24733353
348.00000000, 1.00000000, 3.00000000, 30.94775391, 1.60481262, 4.81443787, 0.65722656, 0.15000001, -0.08000000, 0.37000000, -7.88000011, 4.03000021, 4.19000006, 31.28394508
348.00000000, 1.00000000, 3.00000000, 31.12350464, 1.34185004, 4.81443787, 0.86492920, 0.01000000, -0.23000000, 0.25000000, -7.86000013, 4.05000019, 4.19999981, 31.40477371
348.00000000, 1.00000000, 3.00000000, 31.25532532, 1.42947268, 4.02555037, 0.47982788, 0.05000000, -0.22000000, 0.12000000, -7.84000015, 4.05999994, 4.21999979, 31.55490494
348.00000000, 1.00000000, 3.00000000, 31.36517334, 1.25427520, 4.02555037, 0.56265259, -0.03000000, -0.25000000, -0.05000000, -7.82000017, 4.07000017, 4.26000023, 31.62812996
